Part number,Part name,Location,Balance,Price
100202,Guiding Pin UC,810602,40.00,2.89
100420,UC X18 S60 WU w bushings,020604,3.00,"1,597.30"
100420,UC X18 S60 WU w bushings,020603,4.00,"1,597.30"
100420,UC X18 S60 WU w bushings,020701,1.00,"1,597.30"
100420,UC X18 S60 WU w bushings,020602,1.00,"1,597.30"
100450,UC X12 S50 WU w bushings,020202,8.00,"1,613.00"
100450,UC X12 S50 WU w bushings,020203,1.00,"1,613.00"
100450,UC X12 S50 WU w bushings,020201,16.00,"1,613.00"
100582,Tube Spacer Grip Cylinder,810603,9.00,2.61
100815,Motor Cover X12-X26 WU,030101,1.00,25.61
100933,Spacer Support,810604,7.00,1.22
100993,Tube Spacer Gripper Cylinder,810603,4.00,1.14
101000,"Bucket GB08-S30/180 (W700mm/28"")",080101,2.00,487.63
101001,"Bucket GB1-S30/180 (W800mm/31"")",070203,1.00,546.71
101003,"Bucket GB2-S30/180 (W900mm/35"")",060204,1.00,639.75
101003,"Bucket GB2-S30/180 (W900mm/35"")",080302,1.00,639.75
101003,"Bucket GB2-S30/180 (W900mm/35"")",080203,1.00,639.75
101005,"Bucket GB2-S40 (W900mm/35"")",080201,1.00,702.55
101005,"Bucket GB2-S40 (W900mm/35"")",080204,3.00,702.55
101005,"Bucket GB2-S40 (W900mm/35"")",080202,1.00,702.55
101005,"Bucket GB2-S40 (W900mm/35"")",080403,2.00,702.55
101005,"Bucket GB2-S40 (W900mm/35"")",080303,1.00,702.55
101005,"Bucket GB2-S40 (W900mm/35"")",080203,1.00,702.55
101007,"Bucket GB3-S40 (W1000mm/39"")",080304,2.00,859.13
101007,"Bucket GB3-S40 (W1000mm/39"")",060502,1.00,859.13
101007,"Bucket GB3-S40 (W1000mm/39"")",080404,1.00,859.13
101007,"Bucket GB3-S40 (W1000mm/39"")",080103,3.00,859.13
101007,"Bucket GB3-S40 (W1000mm/39"")",080303,1.00,859.13
101007,"Bucket GB3-S40 (W1000mm/39"")",080102,2.00,859.13
101007,"Bucket GB3-S40 (W1000mm/39"")",080104,3.00,859.13
101007,"Bucket GB3-S40 (W1000mm/39"")",080101,1.00,859.13
101007,"Bucket GB3-S40 (W1000mm/39"")",080202,1.00,859.13
101007,"Bucket GB3-S40 (W1000mm/39"")",050804,1.00,859.13
101007,"Bucket GB3-S40 (W1000mm/39"")",080603,3.00,859.13
101009,"Bucket GB4-S40 (W1100mm/43"")",080402,1.00,"1,054.58"
101009,"Bucket GB4-S40 (W1100mm/43"")",080404,1.00,"1,054.58"
101009,"Bucket GB4-S40 (W1100mm/43"")",060602,1.00,"1,054.58"
101009,"Bucket GB4-S40 (W1100mm/43"")",060604,1.00,"1,054.58"
101009,"Bucket GB4-S40 (W1100mm/43"")",080504,2.00,"1,054.58"
101010,"Bucket GB4-S40 (W914mm/36"").",080502,1.00,954.34
101010,"Bucket GB4-S40 (W914mm/36"").",080303,1.00,954.34
101010,"Bucket GB4-S40 (W914mm/36"").",080402,1.00,954.34
